aiddata_id	donor	sector	title	short_description	long_description	aiddata_activity_code	codeRule_characterLength
19214322	Germany	I.1.a. Education, Level Unspecified	GOVERNMENT CONTRIBUTIONS VIA NGO	GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01|15105.01 	67
19200173	Germany	I.1.d. Post-Secondary Education	GOVERNMENT CONTRIBUTIONS VIA NGO	GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01|15105.01 	67
17681602	Norway	I.1.a. Education, Level Unspecified	PEACE CORPS PERSONELL EXCHANGE	PEACE CORPS PERSONNEL EXCHANGE		15150.01 	63
27515880	Austria	I.1.a. Education, Level Unspecified	Small-scale commitments aggregated by sector and recipient	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT		99810.01 	119
27832442	Germany	I.1.c. Secondary Education	Integrated Experts	INTEGRATED EXPERTS	Integrated Experts	15110.01 	57
19518584	Norway	I.1.a. Education, Level Unspecified	FREDSKORPSET PERSONELL EXCHANGE	EXCHANGE OF PERSONNEL BETWN PARTNERS IN NORWAY AND IN THE SOUTH	EXCHANGE OF PERSONNEL BETWN PARTNERS IN NORWAY AND IN THE SOUTH PARTICIPANTS WORK IN HOST COUNTRIES TOGETHER WITH THE HOST PARTNERS STAFF RESPONSIBILITY AND SPECIFIC TASKS WILL VARY IN RELATION TO THE OBJECTIVES ESTABL FOR THE PROJECT BY THE PARTNERS	99810.01 	347
21479752	Germany	I.1.a. Education, Level Unspecified	STABILITY PACT FOR SOUTH EASTERN EUROPE	STABILITY PACT FOR SOUTH EASTERN EUROPE		15205.01 	81
23153491	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES		99810.01 	27
23006735	Japan	I.1.b. Basic Education		TC AGGREGATED ACTIVITIES		99810.01 	27
9287431	Belgium	I.1.a. Education, Level Unspecified		FRAIS SOCIAUX PERSONNEL CT		16010.05|16010.01 	29
22983784	Japan	I.1.d. Post-Secondary Education		TC AGGREGATED ACTIVITIES		99810.01 	27
50048418	Spain	I.1.a. Education, Level Unspecified	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
21608072	Germany	I.1.c. Secondary Education	INTEGRATED SPECIALIST	INTEGRATED SPECIALIST		99810.01 	45
37497953	Spain	I.1.c. Secondary Education	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
23138949	Japan	I.1.c. Secondary Education		TC AGGREGATED ACTIVITIES		99810.01 	27
50048171	Spain	I.1.b. Basic Education	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
23015998	Japan	I.1.d. Post-Secondary Education		TC AGGREGATED ACTIVITIES		99810.01 	27
23075803	Japan	I.1.c. Secondary Education		TC AGGREGATED ACTIVITIES		99810.01 	27
37363639	Spain	I.1.a. Education, Level Unspecified	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
23011190	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES		99810.01 	27
21639616	Germany	I.1.d. Post-Secondary Education	FEDERAL STATES CONTRIBUTIONS	FEDERAL STATES CONTRIBUTIONS		99810.01 	59
37355075	Spain	I.1.a. Education, Level Unspecified	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
24042421	Germany	I.1.b. Basic Education	DEVELOPMENT WORKER	DEVELOPMENT EXPERT		99810.01 	39
37361103	Spain	I.1.b. Basic Education	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
23014774	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES		99810.01 	27
28336521	Norway	I.1.a. Education, Level Unspecified	Fredskorpset personnel exchange	FREDSKORPSET PERSONNEL EXCHANGE	Feasibility study on establishing exchange of personnel for Fredskorpset exchange programme. The results of the feasibility study will constitute parts of the basis for assessing an application for a collaboration agreement.	72010.01|74010.09 	289
37429418	Spain	I.1.a. Education, Level Unspecified	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
23124420	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES		99810.01 	27
15342198	Austria	I.1.b. Basic Education	Small-scale commitments aggregated by sector and recipient	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT		99810.01 	119
19205677	Germany	I.1.d. Post-Secondary Education	GOVERNMENT CONTRIBUTIONS VIA NGO	GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01|15105.01 	67
19207547	Germany	I.1.d. Post-Secondary Education	GOVERNMENT CONTRIBUTIONS VIA NGO	GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01|15105.01 	67
97928576	United States	I.1.b. Basic Education	Basic Education	BASIC EDUCATION	Improve early childhood education, primary education, and secondary education, delivered in formal or non-formal settings. It includes literacy, numeracy, and other basic skills programs for youth and adults. [through U.S. Government - U.S. Agency for International Development]	11220.04|11230.03|11320.04|11240.02 	311
27506112	Austria	I.1.d. Post-Secondary Education	Small-scale commitments aggregated by sector and recipient	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT		99810.01 	119
97637108	Japan	I.1.d. Post-Secondary Education	TC AGGREGATED ACTIVITIES	TC AGGREGATED ACTIVITIES		99810.01 	51
21485552	Germany	I.1.c. Secondary Education	INTEGRATED SPECIALIST	INTEGRATED SPECIALIST		99810.01 	45
27497462	Austria	I.1.d. Post-Secondary Education	Small-scale commitments aggregated by sector and recipient	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT		99810.01 	119
26250704	Japan	I.1.d. Post-Secondary Education		TC AGGREGATED ACTIVITIES	TC AGGREGATED ACTIVITIES	99810.01 	51
96846418	United States	I.1.b. Basic Education	Basic Education	BASIC EDUCATION	Improve early childhood education, primary education, and secondary education, delivered in formal or non-formal settings. It includes literacy, numeracy, and other basic skills programs for youth and adults. [through Government of Bangladesh]	11220.01|11220.04|11320.04|11230.03|16010.05|11240.02|11320.01 	276
21262512	Belgium	I.1.b. Basic Education	PROVINCES NEERLANDOPHONES	PROVINCES NEERLANDOPHONES		99810.01 	53
23603164	Austria	I.1.c. Secondary Education	Small-scale commitments aggregated by sector and recipient	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT		99810.01 	119
19251029	Germany	I.1.d. Post-Secondary Education	GOVERNMENT CONTRIBUTIONS VIA NGO	GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01|15105.01 	67
22990070	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES		99810.01 	27
50047808	Spain	I.1.c. Secondary Education	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
16284768	Ireland	I.1.a. Education, Level Unspecified	NGO LOCAL FUNDING  ETHIOPIA	NGO LOCAL FUNDING  ETHIOPIA		92030.01 	57
19190585	Germany	I.1.a. Education, Level Unspecified	FURTHER SKILLS MEASURES IN THE SCOPE OF THE STABILITY PACT	FURTHER SKILLS MEASURES IN THE SCOPE OF THE STABILITY PACT		99810.01 	119
38600315	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES	TC AGGREGATED ACTIVITIES	99810.01 	51
23025558	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES		99810.01 	27
23123176	Japan	I.1.d. Post-Secondary Education		TC AGGREGATED ACTIVITIES		99810.01 	27
23043490	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES		99810.01 	27
21536108	Germany	I.1.a. Education, Level Unspecified	DEVELOPMENT AID VOLUNTEER	DEVELOPMENT AID VOLUNTEER		99810.01 	53
37312045	Spain	I.1.b. Basic Education	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
50118376	Spain	I.1.b. Basic Education	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
21409159	France	I.1.d. Post-Secondary Education	FORMATION PROFESSIONNELLE ET ENSEIGNEMENT TECHNIQUE	FORMATION PROFESSIONNELLE ET ENSEIGNEMENT TECHNIQUE		11330.01 	105
12269483	Austria	I.1.d. Post-Secondary Education	Small-scale commitments aggregated by sector and recipient	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT		99810.01 	119
21493326	Germany	I.1.d. Post-Secondary Education	FEDERAL STATES CONTRIBUTIONS	FEDERAL STATES CONTRIBUTIONS		99810.01 	59
9288223	Belgium	I.1.a. Education, Level Unspecified		FRAIS SOCIAUX PERSONNEL CT		16010.01|16010.05 	29
35182695	Austria	I.1.d. Post-Secondary Education	Small-scale commitments aggregated by sector and recipient country	SMALL-SCALE COMMITMENTS AGGREGATED BY SECTOR AND RECIPIENT COUNTRY	Semiaggregierte Daten je Empf&auml;ngerland und DAC5-Sektor f&uuml;r Kleincommitments	99810.01 	220
37626465	Spain	I.1.b. Basic Education	Aggregated information - municipalities	AGGREGATED INFORMATION - MUNICIPALITIES	Agregado EELL	15110.01 	94
21642386	Germany	I.1.d. Post-Secondary Education	FEDERAL STATES CONTRIBUTIONS	FEDERAL STATES CONTRIBUTIONS		99810.01 	59
23143314	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES		99810.01 	27
23056314	Japan	I.1.d. Post-Secondary Education		TC AGGREGATED ACTIVITIES		99810.01 	27
26324592	Japan	I.1.a. Education, Level Unspecified		TC AGGREGATED ACTIVITIES	TC AGGREGATED ACTIVITIES	99810.01 	51
17371874	Germany	I.1.b. Basic Education		GOVERNMENT CONTRIBUTIONS VIA NGO		92005.01 	35
16277422	Ireland	I.1.d. Post-Secondary Education	FELLOWSHIPS	FELLOWSHIPS		11420.06 	25
23025225	Japan	I.1.d. Post-Secondary Education		TC AGGREGATED ACTIVITIES		99810.01 	27
20961146	United Nations Children s Fund (UNICEF)	I.1.b. Basic Education		GENERAL		72010.01 	10
21608035	Germany	I.1.d. Post-Secondary Education	FEDERAL STATES CONTRIBUTIONS	FEDERAL STATES CONTRIBUTIONS		99810.01 	59
